Quarter,Period_Ending,Revenue_RMB_billion,Operating_Profit_RMB_billion,Net_Income_RMB_billion,Operating_Margin_pct,Net_Margin_pct,Revenue_YoY_pct,Net_Income_YoY_pct
Q1 2021,3/31/2021,22.1671,-4.147,-2.9054,-18.71,-13.11,,
Q2 2021,6/30/2021,23.0462,1.9975,2.4146,8.67,10.48,,
Q3 2021,9/30/2021,21.5058,2.1393,1.64,9.95,7.63,,
Q4 2021,12/31/2021,27.2309,6.907,6.6195,25.36,24.31,,
Q1 2022,3/31/2022,23.7937,2.1544,2.5995,9.06,10.93,7.33,-10.53
Q2 2022,6/30/2022,31.4396,8.6972,8.8963,27.66,28.3,36.42,268.42
Q3 2022,9/30/2022,35.5043,10.4366,10.5886,29.4,29.82,65.09,545.65
Q4 2022,12/31/2022,39.82,9.1137,9.4537,22.88,23.74,46.24,42.8
Q1 2023,3/31/2023,37.6371,6.929,8.101,18.41,21.53,58.19,211.66
Q2 2023,6/30/2023,52.2807,12.7188,13.1081,24.33,25.07,66.32,47.34
Q3 2023,9/30/2023,68.8404,16.656,15.5371,24.2,22.57,93.88,46.73
Q4 2023,12/31/2023,88.881,22.395,23.2803,25.19,26.19,123.2,146.24
Q1 2024,3/31/2024,86.8121,25.9737,27.9978,29.92,32.25,130.65,245.6
Q2 2024,6/30/2024,97.0595,32.5645,32.0094,33.55,32.98,85.65,144.2
Q3 2024,9/30/2024,99.3544,24.2925,24.9807,24.45,25.14,44.32,60.78
Q4 2024,12/31/2024,110.6101,25.5922,27.4466,23.14,24.81,24.44,17.9
Q1 2025,3/31/2025,95.7,16.1,14.7,16.82,15.36,10.24,-47.5
Q2 2025,6/30/2025,103.9848,25.7929,30.7535,24.8,29.57,7.15,-3.92
Q3 2025,9/30/2025,108.2765,25.0259,29.3282,23.11,27.09,9,17.41
Q4 2025,12/31/2025,123.9122,27.7197,24.541,22.37,19.81,12.05,-10.59
Q1 2026,3/31/2026,106.2,19.6,12.5,18.46,11.77,10.97,-14.97
